Player,Team,Year,Games,Receiving,Blocking,Chances,Advance att.,Sum,RRAA,BRAA,FRAA,TRAA,SumR,dWAR,w.Receiving,w.Blocking,w.Chances,w.CS,Runs/Game,w.RRAA,w.BRAA,w.FRAA,w.TRAA,w.SumR,w.dWAR,sum d.WAR
A.J. Ellis,LAD,2014,79,6158,3288,809,130,10385,-14.8,-0.9,0,-0.8,-16.5,-2.93,0.593,0.3166,0.0779,0.0125,-0.2089,-8.776,-0.2849,0,-0.0623,-9.12,-1.67,-4.08
A.J. Ellis,LAD,2013,109,8145,4405,931,150,13631,-7.9,-2,0,1.9,-8,-1.42,0.5975,0.3232,0.0683,0.011,-0.0734,-4.7205,-0.6463,0,0.1298,-5.24,-0.94,
A.J. Ellis,LAD,2012,128,9770,5278,1100,202,16350,-14.7,0.2,2,3.2,-9.3,-1.65,0.5976,0.3228,0.0673,0.0124,-0.0727,-8.784,0.0646,0.159266055,0.2153,-8.34,-1.47,
A.J. Pierzynski,ATL,2016,59,4706,2620,484,120,7930,-6.8,-3.7,-6,-0.5,-17,-2.91,0.5934,0.3304,0.061,0.0151,-0.2881,-4.0354,-1.2224,-0.457,-0.0305,-5.75,-0.98,-4.71
A.J. Pierzynski,ATL,2015,104,7553,4272,775,162,12762,-9.7,-1.3,-13,-1,-25,-4.44,0.5918,0.3347,0.0607,0.0127,-0.2404,-5.7408,-0.4352,-0.9545,-0.0607,-7.19,-1.28,
A.J. Pierzynski,TEX,2013,111,8331,4547,959,168,14005,-12.8,1.2,-3,0.7,-13.9,-2.47,0.5949,0.3247,0.0685,0.012,-0.1252,-7.6142,0.3896,-0.2414,0.0479,-7.42,-1.34,
A.J. Pierzynski,CHW,2012,121,9473,4933,976,216,15598,-7.6,-4.3,-5,0,-16.9,-3,0.6073,0.3163,0.0626,0.0138,-0.1397,-4.6156,-1.3599,-0.382100269,0,-6.36,-1.12,
Alex Avila,DET,2014,98,8971,5016,940,165,15092,-7,3.6,5,2.6,4.2,0.75,0.5944,0.3324,0.0623,0.0109,0.0429,-4.1609,1.1965,0.3661,0.1619,-2.44,-0.45,0.45
Alex Avila,DET,2013,96,7260,3934,850,174,12218,4.7,-2.6,-4,-1.5,-3.4,-0.6,0.5942,0.322,0.0696,0.0142,-0.0354,2.7928,-0.8372,-0.3352,-0.1044,1.52,0.27,
Alex Avila,DET,2012,107,7987,4436,960,193,13576,5.2,-0.2,6,0.9,11.9,2.11,0.5883,0.3268,0.0707,0.0142,0.1112,3.0593,-0.0654,0.509575722,0.0636,3.57,0.63,
Blake Swihart,BOS,2015,78,6022,3365,612,157,10156,-1.8,-3.5,-16,0.2,-21.1,-3.75,0.5929,0.3313,0.0603,0.0155,-0.2705,-1.0673,-1.1597,-1.2115,0.0121,-3.43,-0.61,-0.61
Brayan Pena,CIN,2015,84,6320,3433,715,114,10582,-10.1,0.4,-5,-2,-16.7,-2.97,0.5972,0.3244,0.0676,0.0108,-0.1988,-6.0321,0.1298,-0.3917,-0.1351,-6.43,-1.14,-1.14
Brian McCann,NYY,2016,86,6503,3612,813,118,11046,5.7,2.7,-5,-0.5,2.9,0.5,0.5887,0.327,0.0736,0.0107,0.0337,3.3557,0.8829,-0.4214,-0.0368,3.78,0.65,5.6
Brian McCann,NYY,2015,119,8965,5129,1056,180,15330,-2.5,0.7,-4,1.2,-4.6,-0.82,0.5848,0.3346,0.0689,0.0117,-0.0387,-1.462,0.2342,-0.3225,0.0827,-1.47,-0.26,
Brian McCann,NYY,2014,89,7698,4292,923,147,13060,11.4,1.6,2,1.9,16.9,3,0.5894,0.3286,0.0707,0.0113,0.1899,6.7195,0.5258,0.1639,0.1343,7.54,1.38,
Brian McCann,ATL,2013,91,6476,3572,767,107,10922,9.9,2,-2,-0.7,9.2,1.63,0.5929,0.327,0.0702,0.0098,0.1011,5.87,0.6541,-0.16,-0.0492,6.31,1.14,
Brian McCann,ATL,2012,113,8546,4592,898,171,14207,23.5,4,-1,-0.3,26.2,4.66,0.6015,0.3232,0.0632,0.012,0.2319,14.1361,1.2929,-0.075244598,-0.019,15.33,2.69,
Buster Posey,SFG,2016,122,8968,4830,1071,129,14998,26.8,2,23,2.2,54,9.24,0.5979,0.322,0.0714,0.0086,0.4426,16.025,0.6441,1.8402,0.1571,18.67,3.19,11.11
Buster Posey,SFG,2015,103,7275,3872,840,107,12094,15.2,2,17,0.9,35.1,6.24,0.6015,0.3202,0.0695,0.0088,0.3408,9.1434,0.6403,1.3312,0.0625,11.18,1.99,
Buster Posey,SFG,2014,86,7360,3911,843,140,12254,17.7,1.1,-4,0.4,15.2,2.7,0.6006,0.3192,0.0688,0.0114,0.1767,10.631,0.3511,-0.3209,0.0275,10.69,1.96,
Buster Posey,SFG,2013,119,8776,4815,967,155,14713,11.3,1.3,4,0.6,17.2,3.06,0.5965,0.3273,0.0657,0.0105,0.1445,6.7402,0.4254,0.305,0.0394,7.51,1.35,
Buster Posey,SFG,2012,111,8255,4476,932,188,13851,23.3,2.8,0,1.3,27.4,4.87,0.596,0.3232,0.0673,0.0136,0.2468,13.8865,0.9048,0,0.0875,14.88,2.61,
Caleb Joseph,BAL,2015,93,6750,3669,797,110,11326,6.9,0.4,12,1.1,20.4,3.62,0.596,0.3239,0.0704,0.0097,0.2194,4.1122,0.1296,0.961,0.0774,5.28,0.94,2.22
Caleb Joseph,BAL,2014,69,5725,2989,585,102,9401,10.7,-0.7,8,2.2,20.2,3.59,0.609,0.3179,0.0622,0.0108,0.2928,6.5161,-0.2226,0.5846,0.1369,7.02,1.29,
Cameron Rupp,PHI,2016,104,7924,4470,874,133,13401,-1.2,0.6,-10,-0.9,-11.5,-1.97,0.5913,0.3336,0.0652,0.0099,-0.1106,-0.7096,0.2001,-0.7514,-0.0587,-1.32,-0.23,-0.19
Cameron Rupp,PHI,2015,79,5450,3052,582,116,9200,-0.7,0.3,6,0.8,6.4,1.14,0.5924,0.3317,0.0633,0.0126,0.081,-0.4147,0.0995,0.4552,0.0506,0.19,0.03,
Carlos Perez,LAA,2016,76,5924,3385,617,101,10027,-3.8,1.3,8,1.5,7,1.2,0.5908,0.3376,0.0615,0.0101,0.0921,-2.2451,0.4389,0.5729,0.0923,-1.14,-0.2,-0.51
Carlos Perez,LAA,2015,75,5342,2955,621,133,9051,-2.8,-0.7,0,1.2,-2.3,-0.41,0.5902,0.3265,0.0686,0.0147,-0.0307,-1.6526,-0.2285,0,0.0823,-1.8,-0.32,
Carlos Ruiz,PHI,2014,104,8290,4735,925,167,14117,-10.3,3.9,8,0.5,2.1,0.37,0.5872,0.3354,0.0655,0.0118,0.0202,-6.0485,1.3081,0.6188,0.0328,-4.09,-0.75,-0.55
Carlos Ruiz,PHI,2013,83,6569,3904,704,123,11300,-6.6,2.5,3,-0.5,-1.6,-0.28,0.5813,0.3455,0.0623,0.0109,-0.0193,-3.8368,0.8637,0.2196,-0.0312,-2.78,-0.5,
Carlos Ruiz,PHI,2012,95,7345,4146,935,149,12575,5,2,3,2.4,12.4,2.2,0.5841,0.3297,0.0744,0.0118,0.1305,2.9205,0.6594,0.25860835,0.1784,4.02,0.71,
Carlos Santana,CLE,2013,81,6796,3896,731,141,11564,-8.6,-3,-12,-0.7,-24.3,-4.32,0.5877,0.3369,0.0632,0.0122,-0.3,-5.0541,-1.0107,-0.9049,-0.0442,-7.01,-1.26,-3.95
Carlos Santana,CLE,2012,95,7808,4262,763,193,13026,-23.8,-2.2,-5,0.9,-30.1,-5.35,0.5994,0.3272,0.0586,0.0148,-0.3168,-14.2661,-0.7198,-0.366958391,0.0527,-15.3,-2.69,
Chris Iannetta,SEA,2016,86,6656,3709,769,133,11267,-12.3,-1.4,-10,0.8,-22.9,-3.92,0.5908,0.3292,0.0683,0.0118,-0.2663,-7.2662,-0.4609,-0.8006,0.0546,-8.47,-1.45,-2.95
Chris Iannetta,LAA,2015,80,6157,3234,671,115,10177,14.4,-0.8,7,-0.6,20,3.55,0.605,0.3178,0.0659,0.0113,0.25,8.7119,-0.2542,0.5406,-0.0396,8.96,1.59,
Chris Iannetta,LAA,2014,80,7616,4148,782,163,12709,-5.3,-0.9,-10,0.2,-16,-2.84,0.5993,0.3264,0.0615,0.0128,-0.2,-3.1761,-0.2937,-0.7436,0.0123,-4.2,-0.77,
Chris Iannetta,LAA,2013,102,8102,4678,781,200,13761,-15.3,-0.4,-7,-1.8,-24.5,-4.35,0.5888,0.3399,0.0568,0.0145,-0.2402,-9.0081,-0.136,-0.499,-0.1022,-9.75,-1.76,
Chris Iannetta,LAA,2012,71,5363,2679,532,112,8686,-4.8,-0.8,0,0.2,-5.4,-0.96,0.6174,0.3084,0.0612,0.0129,-0.0761,-2.9637,-0.2467,0,0.0122,-3.2,-0.56,
Chris Snyder,HOU,2012,67,5298,2878,540,130,8846,8.1,-2.7,-3,-0.3,2.1,0.37,0.5989,0.3253,0.061,0.0147,0.0313,4.8512,-0.8784,-0.227221343,-0.0183,3.73,0.65,2.94
Chris Stewart,NYY,2013,98,7455,4328,798,131,12712,21.7,2,-10,0.4,14.1,2.51,0.5865,0.3405,0.0628,0.0103,0.1439,12.726,0.6809,-0.7308,0.0251,12.7,2.29,
Christian Vazquez,BOS,2016,49,3779,2086,450,62,6377,3.6,-0.8,5,-0.1,7.7,1.32,0.5926,0.3271,0.0706,0.0097,0.1571,2.1334,-0.2617,0.4014,-0.0071,2.27,0.39,0.39
Curtis Casali,TBR,2016,62,4953,2793,579,82,8407,3.4,-1.3,11,0.9,14,2.4,0.5892,0.3322,0.0689,0.0098,0.2258,2.0031,-0.4319,0.8649,0.062,2.5,0.43,0.43
David Ross,CHC,2016,50,3734,1958,486,114,6292,8.7,2.1,13,-0.4,23.4,4,0.5935,0.3112,0.0772,0.0181,0.468,5.163,0.6535,1.2397,-0.0309,7.03,1.2,1.2
Derek Norris,SDP,2016,113,8853,5030,942,185,15010,5.7,0.2,14,-3.5,16.4,2.81,0.5898,0.3351,0.0628,0.0123,0.1451,3.3619,0.067,1.0512,-0.2197,4.26,0.73,2.47
Derek Norris,SDP,2015,116,9064,4971,1056,226,15317,12.3,1.9,6,2,22.2,3.94,0.5918,0.3245,0.0689,0.0148,0.1914,7.2787,0.6166,0.5022,0.1379,8.54,1.52,
Derek Norris,OAK,2014,83,6935,3725,794,142,11596,-2.2,-1.4,-3,-1.7,-8.3,-1.47,0.5981,0.3212,0.0685,0.0122,-0.1,-1.3157,-0.4497,-0.2422,-0.1164,-2.12,-0.39,
Derek Norris,OAK,2013,71,5553,2982,595,94,9224,7.1,-1.3,-6,0.2,0,0,0.602,0.3233,0.0645,0.0102,0,4.2743,-0.4203,-0.4482,0.0129,3.42,0.62,
Devin Mesoraco,CIN,2014,99,7772,4192,890,130,12984,-8.1,1.6,2,-0.6,-5.1,-0.91,0.5986,0.3229,0.0685,0.01,-0.0515,-4.8485,0.5166,0.1571,-0.0411,-4.22,-0.77,-1.13
Devin Mesoraco,CIN,2013,84,6643,3508,728,120,10999,-4,1.5,-1,0.1,-3.4,-0.6,0.604,0.3189,0.0662,0.0109,-0.0405,-2.4159,0.4784,-0.0771,0.0066,-2.01,-0.36,
Dioner Navarro,CHW,2016,80,6139,3622,682,108,10551,-15,-0.8,-14,-0.6,-30.4,-5.2,0.5818,0.3433,0.0646,0.0102,-0.38,-8.7276,-0.2746,-1.0482,-0.0388,-10.09,-1.73,-3.84
Dioner Navarro,TOR,2014,90,8003,4394,820,137,13354,-20,1.3,1,-0.6,-18.3,-3.25,0.5993,0.329,0.0614,0.0103,-0.2033,-11.9859,0.4278,0.0717,-0.0368,-11.52,-2.11,
Evan Gattis,ATL,2014,81,6594,3745,777,152,11268,-1.1,1.9,-4,-1.5,-4.7,-0.84,0.5852,0.3324,0.069,0.0135,-0.058,-0.6437,0.6315,-0.3298,-0.1034,-0.45,-0.08,-0.08
Francisco Cervelli,PIT,2016,94,7036,4035,771,158,12000,9.9,-1.9,6,-2.4,11.6,1.99,0.5863,0.3363,0.0643,0.0132,0.1234,5.8047,-0.6389,0.4645,-0.1542,5.48,0.94,3.73
Francisco Cervelli,PIT,2015,124,8749,4902,1081,228,14960,26.7,-1.3,8,-2.6,30.8,5.47,0.5848,0.3277,0.0723,0.0152,0.2484,15.6149,-0.426,0.7,-0.1879,15.7,2.79,
Hank Conger,LAA,2014,56,5666,3017,643,139,9465,21.3,0,1,-1.3,21,3.73,0.5986,0.3188,0.0679,0.0147,0.375,12.7507,0,0.0826,-0.0883,12.75,2.34,4.2
Hank Conger,LAA,2013,60,4990,2891,517,136,8534,18.1,-0.7,0,-0.1,17.3,3.07,0.5847,0.3388,0.0606,0.0159,0.2883,10.5834,-0.2371,0,-0.0061,10.34,1.86,
J.P. Arencibia,TOR,2013,115,9467,5220,951,178,15816,14.9,-2.4,1,0.3,13.8,2.45,0.5986,0.33,0.0601,0.0113,0.12,8.9187,-0.7921,0.0714,0.018,8.22,1.48,0.8
J.P. Arencibia,TOR,2012,91,7299,4149,683,145,12276,-8.1,2,3,1.1,-2,-0.36,0.5946,0.338,0.0556,0.0118,-0.022,-4.8161,0.676,0.202346041,0.0612,-3.88,-0.68,
J.T. Realmuto,MIA,2016,124,10075,5882,1159,195,17311,-15.7,1.8,-13,2.1,-24.8,-4.24,0.582,0.3398,0.067,0.0113,-0.2,-9.1374,0.6116,-1.0168,0.1406,-9.4,-1.61,-3.14
J.T. Realmuto,MIA,2015,116,8483,4503,888,135,14009,-14.6,-0.2,4,0.2,-10.6,-1.88,0.6055,0.3214,0.0634,0.0096,-0.0914,-8.8409,-0.0643,0.2921,0.0127,-8.6,-1.53,
James McCann,DET,2016,96,7056,3774,804,123,11757,-2.6,1.1,9,3.6,11.1,1.9,0.6002,0.321,0.0684,0.0105,0.1156,-1.5604,0.3531,0.7096,0.2462,-0.25,-0.04,-1.73
James McCann,DET,2015,103,7937,4186,777,149,13049,-15.6,0.9,-6,1.8,-18.9,-3.36,0.6082,0.3208,0.0595,0.0114,-0.1835,-9.4886,0.2887,-0.4258,0.1072,-9.52,-1.69,
Jarrod Saltalamacchia,MIA,2014,95,7627,4284,801,169,12881,-24.4,-1.5,-8,-2.6,-36.5,-6.49,0.5921,0.3326,0.0622,0.0131,-0.3842,-14.4475,-0.4989,-0.6024,-0.1617,-15.71,-2.88,-2.48
Jarrod Saltalamacchia,BOS,2013,111,8597,5008,960,188,14753,-2.9,0.8,-6,-1.2,-9.3,-1.65,0.5827,0.3395,0.0651,0.0127,-0.0838,-1.6899,0.2716,-0.4669,-0.0781,-1.96,-0.35,
Jarrod Saltalamacchia,BOS,2012,95,7664,4272,763,145,12844,7.3,1.2,-5,-1.7,1.8,0.32,0.5967,0.3326,0.0594,0.0113,0.0189,4.3559,0.3991,-0.353472438,-0.101,4.3,0.76,
Jason Castro,HOU,2016,102,8154,4615,922,153,13844,12.8,0,4,-0.9,15.9,2.72,0.589,0.3334,0.0666,0.0111,0.1559,7.5391,0,0.3106,-0.0599,7.79,1.33,2.84
Jason Castro,HOU,2015,102,7287,3959,840,140,12226,12.9,-1,11,1,23.9,4.25,0.596,0.3238,0.0687,0.0115,0.2343,7.6887,-0.3238,0.8817,0.0687,8.32,1.48,
Jason Castro,HOU,2014,102,8655,4747,826,185,14413,9,2.2,2,-1.6,11.6,2.06,0.6005,0.3294,0.0573,0.0128,0.1137,5.4045,0.7246,0.1403,-0.0917,6.18,1.13,
Jason Castro,HOU,2013,95,7705,4285,679,150,12819,-3.9,-1.4,2,-0.1,-3.4,-0.6,0.6011,0.3343,0.053,0.0117,-0.0358,-2.3441,-0.468,0.1293,-0.0053,-2.69,-0.48,
Jason Castro,HOU,2012,73,5854,3340,571,147,9912,-2.8,-5.2,0,-2.3,-10.3,-1.83,0.5906,0.337,0.0576,0.0148,-0.1411,-1.6537,-1.7522,0,-0.1325,-3.54,-0.62,
Jeff Mathis,MIA,2013,70,4904,2598,551,97,8150,-1.7,-0.7,5,0.6,3.2,0.57,0.6017,0.3188,0.0676,0.0119,0.0457,-1.0229,-0.2231,0.3975,0.0406,-0.81,-0.15,-0.15
Jesus Flores,WAS,2012,75,5938,3330,704,124,10096,1.6,0.7,2,-1.9,2.4,0.43,0.5882,0.3298,0.0697,0.0123,0.032,0.941,0.2309,0.164025357,-0.1325,1.2,0.21,0.21
Joe Mauer,MIN,2013,73,5714,3061,527,68,9370,-0.1,0.2,5,1,6.1,1.08,0.6098,0.3267,0.0562,0.0073,0.0836,-0.061,0.0653,0.3175,0.0562,0.38,0.07,-0.14
Joe Mauer,MIN,2012,72,5373,2894,453,102,8822,-0.7,-0.8,-6,-1.9,-9.4,-1.67,0.609,0.328,0.0513,0.0116,-0.1306,-0.4263,-0.2624,-0.377465427,-0.0976,-1.16,-0.2,
John Buck,NYM,2013,101,7121,4064,791,118,12094,-21.4,0.2,-7,-0.2,-28.4,-5.05,0.5888,0.336,0.0654,0.0098,-0.2812,-12.6004,0.0672,-0.5261,-0.0131,-13.07,-2.35,-2.5
John Buck,MIA,2012,103,7793,4284,779,128,12984,-2.6,1.7,2,0.3,1.4,0.25,0.6002,0.3299,0.06,0.0099,0.0136,-1.5605,0.5609,0.139710413,0.018,-0.84,-0.15,
Jonathan Lucroy,MIL,2016,121,9243,5277,999,138,15657,4.9,1.8,4,4.4,15.1,2.58,0.5903,0.337,0.0638,0.0088,0.1248,2.8927,0.6067,0.2905,0.2807,4.07,0.7,10.31
Jonathan Lucroy,MIL,2015,86,6329,3514,688,163,10694,7.3,0.6,3,-1,9.9,1.76,0.5918,0.3286,0.0643,0.0152,0.1151,4.3203,0.1972,0.2387,-0.0643,4.69,0.83,
Jonathan Lucroy,MIL,2014,120,10064,5235,1082,177,16558,22.1,5.2,11,-1.5,36.8,6.54,0.6078,0.3162,0.0653,0.0107,0.3067,13.4324,1.644,0.8364,-0.098,15.81,2.9,
Jonathan Lucroy,MIL,2013,122,9445,5168,921,186,15720,29.7,3,-2,-1.9,28.8,5.12,0.6008,0.3288,0.0586,0.0118,0.2361,17.8446,0.9863,-0.1408,-0.1113,18.58,3.35,
Jonathan Lucroy,MIL,2012,80,6910,4066,755,151,11882,22.9,2.8,4,-2,27.7,4.92,0.5816,0.3422,0.0635,0.0127,0.3463,13.3175,0.9582,0.304999158,-0.1271,14.45,2.54,
Jose Lobaton,TBR,2013,76,6350,3437,686,142,10615,0,1.5,-4,-1.7,-4.2,-0.75,0.5982,0.3238,0.0646,0.0134,-0.0553,0,0.4857,-0.312,-0.1099,0.06,0.01,0.01
Jose Molina,TBR,2014,47,5455,3095,691,114,9355,16.9,-2.3,-8,-0.2,6.4,1.14,0.5831,0.3308,0.0739,0.0122,0.1362,9.8546,-0.7609,-0.6884,-0.0148,8.39,1.54,6
