State,Abbr,drankYes,lesshs,hs,jc,college,more5,four,three,two ,one,none
Alabama,AL,40.1,13.4,28.5,49.9,8.1,0.5,1.7,5,12,15.2,65.7
Alaska,AK,56.7,15.4,38.2,38,8.4,1.6,3,6.7,13.4,16.3,59
Arizona,AZ,51.7,15.3,29,47.1,8.6,1.8,2.7,6.7,12.3,15.1,61.5
Arkansas,AR,39.9,12.1,29.2,49.2,9.5,1,1.7,5.4,13.3,15.5,63.2
California,CA,53.6,10.9,25.4,52.6,11.1,1.2,2.2,6.4,14.8,16.6,58.8
Colorado,CO,61.2,11,25.4,49.7,14,0.9,1.7,6.2,14.6,15.4,61.3
Connecticut,CT,60.8,9.6,26.2,48.2,16,0,0.9,4.7,14.1,15.1,64.8
Delaware,DE,52.9,12.2,25.9,51.4,10.6,0.8,2.1,5.3,13.5,17.9,60.4
District of Columbia,DC,67.4,8.4,21.1,43.6,26.9,0,0,2.9,9.2,12.4,74
Florida,FL,54.4,13.7,27.2,48.8,10.4,0.6,1.5,5.4,11.5,15.6,65.4
Georgia,GA,48.1,14.4,29.6,45.8,10.3,1,2.1,6.3,13.2,16.5,61
Hawaii,HI,51,8.8,31.7,49.6,9.9,1.3,2,5.4,11.7,15.7,64
Idaho,ID,48.5,13.2,30.3,48.8,7.8,2.4,3.3,8.3,12.3,14.8,58.9
Illinois,IL,57.2,11.1,25.5,49.2,14.3,0.8,1.4,6,13,15.9,62.9
Indiana,IN,47.9,14.8,27.7,46.9,10.6,1.2,2.3,6.5,13.1,14.4,62.4
Iowa,IA,58.7,10.2,23.9,54.5,11.5,0.8,2.4,6.4,12.5,13,65
Kansas,KS,51.5,12.5,24,50.8,12.7,1.4,2.3,6.9,13.2,14.1,62.2
Kentucky,KY,37.2,11.6,30.4,47.8,10.2,1,1.4,4.8,11.8,16.1,64.9
Louisiana,LA,49.4,15,30.3,46.3,8.4,1.1,2,5.7,13.4,16.8,61
Maine,ME,59.2,10.3,25.3,51.3,13.1,0.8,1.2,3.5,10.8,13.7,70.1
Maryland,MD,53.3,9.7,26.7,48,15.7,0.6,1.7,5,13.5,16.3,63
Massachusetts,MA,61.9,8.5,24.7,47.6,19.2,0.6,1.2,4.5,13.4,15,65.3
Michigan,MI,57,10.7,26.2,52.6,10.4,0.9,1.9,5.2,11.7,15.4,64.9
Minnesota,MN,61.7,10.2,22.6,52,15.2,1.4,1.9,5.7,13.8,14.1,63.2
Mississippi,MS,38.8,13.7,26.1,53.3,6.9,,1.6,5.3,11.8,17.7,63
Missouri,MO,45.5,11.1,26,52.6,10.3,1.4,1.8,5.3,12.5,13.7,65.4
Montana,MT,59.6,9.8,32.6,48.6,9.1,0.9,2,5.5,11.8,13.5,66.5
Nebraska,NE,59.2,9.1,22.8,56.1,12,1.2,2.4,6.9,13.8,13.5,62.2
Nevada,NV,50.6,15.7,33.4,44.4,6.5,1.7,3.3,5.5,13.8,14.7,60.9
New Hampshire,NH,62.5,7.8,24.2,52.8,15.1,0.5,1.8,4.2,12.2,15.3,66
New Jersey,NJ,56.3,10.3,25.5,47.4,16.8,0.7,1.4,4.7,14.4,16.1,62.8
New Mexico,NM,47.8,14.8,27.4,51.4,6.5,1.1,2.8,6.6,13.4,15.6,60.6
New York,NY,54.5,10.8,23.2,47.9,18.1,1,1.6,5.7,13.3,15.7,62.6
North Carolina,NC,46.2,11.7,27,49.6,11.7,0.7,1.6,4.9,11.7,13.6,67.5
North Dakota,ND,61.2,12.4,17.1,55.5,15.1,1.2,2.1,5.7,11.3,12.3,67.5
Ohio,OH,53.1,12.1,29.7,46.8,11.3,1.1,1.8,5.1,11.9,15.2,65.1
Oklahoma,OK,41.7,15.1,29.8,46.5,8.6,1,2.3,7.2,12.5,13.9,63.2
Oregon,OR,59,11.3,26.7,52.6,9.5,1.3,1.8,5,11,14.5,66.4
Pennsylvania,PA,54.6,10.6,28.8,46.5,14,0.8,1.8,5,12.1,13.6,66.7
Rhode Island,RI,63.2,8.2,27.6,51.8,12.3,0.5,1,4.4,12,14.6,67.4
South Carolina,SC,47.3,12.5,28.3,48.6,10.6,0.7,1.5,5,11.7,15,66.2
South Dakota,SD,55.6,14.5,26.8,50.3,8.4,1.2,2.8,7.2,11.6,13,64.2
Tennessee,TN,40.5,11,32.5,45.7,10.9,0.8,2.1,5.2,12.2,16.2,63.5
Texas,TX,48,13.9,29,47.5,9.6,1.4,2.4,7.4,15.1,16.4,57.3
Utah,UT,29.8,12.8,25.5,52,9.7,3.4,5.3,9.9,13.8,13.8,53.8
Vermont,VT,64.3,9,29.9,46.3,14.7,0.4,0.9,3.9,12,12.9,70
Virginia,VA,51.7,10,26.2,49.5,14.4,0.5,1.6,5.4,13.9,16.4,62.3
Washington,WA,59.5,12.2,28.5,47.1,12.3,0.7,1.7,5.9,13.3,14.5,63.9
West Virginia,WV,32.7,13.1,30.7,47.2,9,0.6,1.3,4.1,11.3,14.1,68.8
Wisconsin,WI,63.1,9.4,28.6,50.3,11.7,1.1,1.4,5.4,12.8,13.4,66.1
Wyoming,WY,51.7,9.5,32.9,49.7,7.9,1.7,2.7,5.3,12.9,12.5,64.9
Puerto Rico,PR,29.3,8.3,24.5,56.3,10.9,0.5,0.9,3.7,11.9,15.6,67.6