id,name,created_at,updated_at
1,"Wilmington, North Carolina Area","2015-01-07 05:03:36","2015-01-07 05:03:36"
2,"Wichita, Kansas Area","2015-01-07 05:03:38","2015-01-07 05:03:38"
3,"Washington, D.C. Metro Area","2015-01-07 05:03:41","2015-01-07 05:03:41"
4,"Urbana-Champaign, Illinois Area","2015-01-07 05:04:09","2015-01-07 05:04:09"
5,"Tuscaloosa, Alabama Area","2015-01-07 05:04:11","2015-01-07 05:04:11"
6,"Tulsa, Oklahoma Area","2015-01-07 05:04:13","2015-01-07 05:04:13"
7,"Tampa/St Petersburg, Florida Area","2015-01-07 05:04:18","2015-01-07 05:04:18"
8,"Tallahassee, Florida Area","2015-01-07 05:04:26","2015-01-07 05:04:26"
9,"Sheboygan, Wisconsin Area","2015-01-07 05:04:27","2015-01-07 05:04:27"
10,"Sarasota, Florida Area","2015-01-07 05:04:28","2015-01-07 05:04:28"
11,"San Francisco Bay Area","2015-01-07 05:04:30","2015-01-07 05:04:30"
12,"San Antonio, Texas Area","2015-01-07 05:04:42","2015-01-07 05:04:42"
13,"Sacramento, California Area","2015-01-07 05:04:48","2015-01-07 05:04:48"
14,"Rockford, Illinois Area","2015-01-07 05:04:56","2015-01-07 05:04:56"
15,"Rochester, New York Area","2015-01-07 05:04:58","2015-01-07 05:04:58"
16,"Richmond, Virginia Area","2015-01-07 05:05:04","2015-01-07 05:05:04"
17,"Raleigh-Durham North Carolina Area","2015-01-07 05:05:09","2016-01-22 21:06:45"
18,"Providence, Rhode Island Area","2015-01-07 05:05:12","2015-01-07 05:05:12"
19,"Portland, Oregon Area","2015-01-07 05:05:17","2015-01-07 05:05:17"
20,"Phoenix, Arizona Area","2015-01-07 05:05:23","2015-01-07 05:05:23"
21,"Panama City, Florida Area","2015-01-07 05:05:33","2015-01-07 05:05:33"
22,"Oshkosh, Wisconsin Area","2015-01-07 05:05:34","2015-01-07 05:05:34"
23,"Orlando, Florida Area","2015-01-07 05:05:34","2015-01-07 05:05:34"
24,"Norfolk, Virginia Area","2015-01-07 05:05:39","2015-01-07 05:05:39"
25,"Naples, Florida Area","2015-01-07 05:05:44","2015-01-07 05:05:44"
26,"Myrtle Beach, South Carolina Area","2015-01-07 05:05:45","2015-01-07 05:05:45"
27,"Missoula, Montana Area","2015-01-07 05:05:46","2015-01-07 05:05:46"
28,"Miami/Fort Lauderdale, Florida Area","2015-01-07 05:05:47","2015-01-07 05:05:47"
29,"Medford, Oregon Area","2015-01-07 05:05:57","2015-01-07 05:05:57"
30,"Madison, Wisconsin Area","2015-01-07 05:05:58","2015-01-07 05:05:58"
31,"Lubbock, Texas Area","2015-01-07 05:06:02","2015-01-07 05:06:02"
32,"Louisville, Kentucky Area","2015-01-07 05:06:03","2015-01-07 05:06:03"
33,"Little Rock, Arkansas Area","2015-01-07 05:06:09","2015-01-07 05:06:09"
34,"Las Vegas, Nevada Area","2015-01-07 05:06:12","2015-01-07 05:06:12"
35,"Lake Charles, Louisiana Area","2015-01-07 05:06:17","2015-01-07 05:06:17"
36,"Lafayette, Indiana Area","2015-01-07 05:06:17","2015-01-07 05:06:17"
37,"La Crosse, Wisconsin Area","2015-01-07 05:06:19","2015-01-07 05:06:19"
38,"Knoxville, Tennessee Area","2015-01-07 05:06:19","2015-01-07 05:06:19"
39,"Kansas City, Missouri Area","2015-01-07 05:06:21","2015-01-07 05:06:21"
40,"Jonesboro, Arkansas Area","2015-01-07 05:06:30","2015-01-07 05:06:30"
41,"Johnson City, Tennessee Area","2015-01-07 05:06:31","2015-01-07 05:06:31"
42,"Jacksonville, Florida Area","2015-01-07 05:06:32","2015-01-07 05:06:32"
43,"Indianapolis, Indiana Area","2015-01-07 05:06:35","2015-01-07 05:06:35"
44,"Houston, Texas Area","2015-01-07 05:08:23","2015-01-07 05:08:23"
45,"Hartford, Connecticut Area","2015-01-07 05:08:38","2015-01-07 05:08:38"
46,"Harrisburg, Pennsylvania Area","2015-01-07 05:08:44","2015-01-07 05:08:44"
47,"Greenville, South Carolina Area","2015-01-07 05:08:47","2015-01-07 05:08:47"
48,"Green Bay, Wisconsin Area","2015-01-07 05:08:49","2015-01-07 05:08:49"
49,"Greater St. Louis Area","2015-01-07 05:08:50","2015-01-07 05:08:50"
50,"Greater Seattle Area","2015-01-07 05:09:00","2015-01-07 05:09:00"
51,"Greater San Diego Area","2015-01-07 05:09:09","2015-01-07 05:09:09"
52,"Greater Salt Lake City Area","2015-01-07 05:09:15","2015-01-07 05:09:15"
53,"Greater Pittsburgh Area","2015-01-07 05:09:19","2015-01-07 05:09:19"
54,"Greater Philadelphia Area","2015-01-07 05:09:35","2015-01-07 05:09:35"
55,"Greater Omaha Area","2015-01-07 05:09:56","2015-01-07 05:09:56"
56,"Greater New York City Area","2015-01-07 05:10:02","2015-01-07 05:10:02"
57,"Greater Nashville Area","2015-01-07 05:10:46","2015-01-07 05:10:46"
58,"Greater Minneapolis-St. Paul Area","2015-01-07 05:10:51","2015-03-28 17:26:10"
59,"Greater Milwaukee Area","2015-01-07 05:11:03","2015-01-07 05:11:03"
60,"Greater Memphis Area","2015-01-07 05:11:07","2015-01-07 05:11:07"
61,"Greater Los Angeles Area","2015-01-07 05:11:12","2015-01-07 05:11:12"
62,"Greater Grand Rapids, Michigan Area","2015-01-07 05:11:34","2015-01-07 05:11:34"
63,"Greater Detroit Area","2015-01-07 05:11:36","2015-01-07 05:11:36"
64,"Greater Denver Area","2015-01-07 05:11:44","2015-01-07 05:11:44"
65,"Greater Chicago Area","2015-01-07 05:11:50","2015-01-07 05:11:50"
66,"Greater Boston Area","2015-01-07 05:12:08","2015-01-07 05:12:08"
67,"Greater Atlanta Area","2015-01-07 05:12:21","2015-01-07 05:12:21"
68,"Great Falls, Montana Area","2015-01-07 05:12:32","2015-01-07 05:12:32"
69,"Fresno, California Area","2015-01-07 05:12:32","2015-01-07 05:12:32"
70,"Dothan, Alabama Area","2015-01-07 05:12:35","2015-01-07 05:12:35"
71,"Des Moines, Iowa Area","2015-01-07 05:12:36","2015-01-07 05:12:36"
72,"Dayton, Ohio Area","2015-01-07 05:12:41","2015-01-07 05:12:41"
73,"Dallas/Fort Worth, Texas Area","2015-01-07 05:12:44","2015-01-07 05:12:44"
74,"Columbus, Ohio Area","2015-01-07 05:12:58","2015-01-07 05:12:58"
75,"Columbia, Missouri Area","2015-01-07 05:13:03","2015-01-07 05:13:03"
76,"Colorado Springs, Colorado Area","2015-01-07 05:13:04","2015-01-07 05:13:04"
77,"Cincinnati, Ohio Area","2015-01-07 05:13:06","2015-01-07 05:13:06"
78,"Chico, California Area","2015-01-07 05:13:13","2015-01-07 05:13:13"
79,"Chattanooga, Tennessee Area","2015-01-07 05:13:13","2015-01-07 05:13:13"
80,"Charlotte, North Carolina Area","2015-01-07 05:13:15","2015-01-07 05:13:15"
81,"Cedar Rapids, Iowa Area","2015-01-07 05:13:19","2015-01-07 05:13:19"
82,"Buffalo/Niagara, New York Area","2015-01-07 05:13:21","2015-01-07 05:13:21"
83,"Boise, Idaho Area","2015-01-07 05:13:25","2015-01-07 05:13:25"
84,"Birmingham, Alabama Area","2015-01-07 05:13:28","2015-01-07 05:13:28"
85,"Baltimore, Maryland Area","2015-01-07 05:13:29","2015-01-07 05:13:29"
86,"Austin, Texas Area","2015-01-07 05:13:36","2015-01-07 05:13:36"
87,"Athens, Georgia Area","2015-01-07 05:13:41","2015-01-07 05:13:41"
88,"Anchorage, Alaska Area","2015-01-07 05:13:42","2015-01-07 05:13:42"
89,"Allentown, pennsylvania Area","2015-01-07 05:13:43","2015-01-07 05:13:43"
90,"Cleveland/Akron, Ohio Area","2015-01-07 19:44:13","2015-01-07 19:44:13"
91,EMEA,"2015-02-26 15:08:21","2015-02-26 15:08:21"
92,"Topeka, Kansas","2015-05-13 20:26:33","2015-05-13 20:27:07"
93,"Albany, New York","2015-05-13 20:29:04","2015-05-13 20:29:04"
94,"Orange County","2016-05-19 22:25:36","2016-05-19 22:25:36"
