Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,G,Adjusted_Salary,Attendance, Winning_% 
LAD,NL,2008,700,648,84,0.333,0.399,0.264,1,162,120016418,3730553, 0.52 
MIL,NL,1998,707,812,74,0.33,0.396,0.26,0,162,51596178,1811593, 0.46 
MIL,NL,1999,815,886,74,0.353,0.426,0.273,0,161,65499866,1701790, 0.46 
MIL,NL,2000,740,826,73,0.325,0.403,0.246,0,163,52024666,1573621, 0.45 
MIL,NL,2001,740,806,68,0.319,0.426,0.251,0,162,62012583,2811040, 0.42 
MIL,NL,2002,627,821,56,0.32,0.39,0.253,0,162,64680638,1969693, 0.35 
MIL,NL,2003,714,873,68,0.329,0.419,0.256,0,162,54837920,1700354, 0.42 
MIL,NL,2004,634,757,67,0.321,0.387,0.248,0,161,36612905,2062382, 0.42 
MIL,NL,2005,726,697,81,0.331,0.423,0.259,0,162,51116586,2211023, 0.50 
MIL,NL,2006,730,833,75,0.327,0.42,0.258,0,162,71384733,2335643, 0.46 
MIL,NL,2007,801,776,83,0.329,0.456,0.262,0,162,78936165,2869144, 0.51 
MIL,NL,2008,750,689,90,0.325,0.431,0.253,1,162,89724374,3068458, 0.56 
MIN,AL,1998,734,818,70,0.328,0.389,0.266,0,162,43270150,1165976, 0.43 
MIN,AL,1999,686,845,63,0.328,0.384,0.264,0,161,33382325,1202829, 0.39 
MIN,AL,2000,748,880,69,0.337,0.407,0.27,0,162,25593070,1000760, 0.43 
MIN,AL,2001,771,766,85,0.337,0.433,0.272,0,162,33930900,1782926, 0.52 
MIN,AL,2002,768,712,94,0.332,0.437,0.272,1,161,55878000,1924473, 0.58 
MIN,AL,2003,801,758,90,0.341,0.431,0.277,1,162,75486800,1946011, 0.56 
MIN,AL,2004,780,715,92,0.332,0.431,0.266,1,162,64026200,1879222, 0.57 
MIN,AL,2005,688,662,83,0.323,0.391,0.259,0,162,71091200,2013453, 0.51 
MIN,AL,2006,801,683,96,0.347,0.425,0.287,1,162,78205567,2285018, 0.59 
MIN,AL,2007,718,725,79,0.33,0.391,0.264,0,162,85485895,2296383, 0.49 
MIN,AL,2008,829,745,88,0.34,0.408,0.279,0,163,66611336,2302431, 0.54 
MON,NL,1998,644,783,65,0.31,0.394,0.249,0,162,16387910,914909, 0.40 
MON,NL,1999,718,853,68,0.323,0.427,0.265,0,162,26395555,772737, 0.42 
MON,NL,2000,738,902,67,0.326,0.432,0.266,0,162,43499726,926272, 0.41 
MON,NL,2001,670,812,68,0.319,0.396,0.253,0,162,49606990,642743, 0.42 
MON,NL,2002,735,718,83,0.334,0.418,0.261,0,162,53161245,812537, 0.51 
MON,NL,2003,711,716,83,0.326,0.401,0.258,0,162,65073960,1025639, 0.51 
MON,NL,2004,635,769,67,0.313,0.392,0.249,0,162,53981375,748550, 0.41 
MON,NL,2005,639,673,81,0.322,0.386,0.252,0,162,61359360,2692123, 0.50 
MON,NL,2006,746,872,71,0.338,0.418,0.262,0,162,67168320,2153150, 0.44 
MON,NL,2007,673,783,73,0.325,0.39,0.256,0,162,36950375,1961579, 0.45 
MON,NL,2008,641,825,59,0.323,0.373,0.251,0,161,63777870,2320400, 0.37 
NYM,NL,1998,706,645,88,0.33,0.394,0.259,0,162,79564868,2287948, 0.54 
NYM,NL,1999,853,711,97,0.363,0.434,0.279,1,163,99247909,2726008, 0.60 
NYM,NL,2000,807,738,94,0.346,0.43,0.263,1,162,116084273,2820530, 0.58 
NYM,NL,2001,642,713,82,0.323,0.387,0.249,0,162,131271088,2658330, 0.51 
NYM,NL,2002,690,703,75,0.322,0.395,0.256,0,161,127254861,2804838, 0.47 
NYM,NL,2003,642,754,66,0.314,0.374,0.247,0,161,158951943,2140599, 0.41 
NYM,NL,2004,684,731,71,0.317,0.409,0.249,0,162,104862923,2318321, 0.44 
NYM,NL,2005,722,648,83,0.322,0.416,0.258,0,162,128856731,2782212, 0.51 
NYM,NL,2006,834,731,97,0.334,0.445,0.264,1,162,125552434,3379551, 0.60 
NYM,NL,2007,804,750,88,0.342,0.432,0.275,0,162,139086672,3853955, 0.54 
NYM,NL,2008,799,715,89,0.34,0.42,0.266,0,162,152081720,4042047, 0.55 
NYY,AL,1998,965,656,114,0.364,0.46,0.288,1,162,102358975,2955193, 0.70 
NYY,AL,1999,900,731,98,0.366,0.453,0.282,1,162,130364882,3293659, 0.60 
NYY,AL,2000,871,814,87,0.354,0.45,0.277,1,161,135361360,3227657, 0.54 
NYY,AL,2001,804,713,95,0.334,0.435,0.267,1,161,156457223,3264552, 0.59 
NYY,AL,2002,897,697,103,0.354,0.455,0.275,1,161,174443030,3461644, 0.64 
NYY,AL,2003,877,716,101,0.356,0.453,0.271,1,163,200191747,3465600, 0.62 
NYY,AL,2004,897,808,101,0.353,0.458,0.268,1,162,244977954,3775292, 0.62 
NYY,AL,2005,886,789,95,0.355,0.45,0.276,1,162,266632726,4090440, 0.59 
NYY,AL,2006,930,767,97,0.363,0.461,0.285,1,162,231462218,4200518, 0.60 
NYY,AL,2007,968,777,94,0.366,0.463,0.29,1,162,250057444,4271867, 0.58 
NYY,AL,2008,789,727,89,0.342,0.427,0.271,0,162,247450368,4298655, 0.55 
OAK,AL,1998,804,866,74,0.338,0.397,0.257,0,162,32196780,1232343, 0.46 
OAK,AL,1999,893,846,87,0.355,0.446,0.259,0,162,36876968,1434632, 0.54 
OAK,AL,2000,947,813,91,0.36,0.458,0.27,1,161,48431606,1728885, 0.57 
OAK,AL,2001,884,645,102,0.345,0.439,0.264,1,162,48011265,2133477, 0.63 
OAK,AL,2002,800,654,103,0.339,0.432,0.261,1,162,55295822,2169811, 0.64 
OAK,AL,2003,768,643,96,0.327,0.417,0.254,1,162,68354734,2216596, 0.59 
OAK,AL,2004,793,742,91,0.343,0.433,0.27,0,162,78605882,2201516, 0.56 
OAK,AL,2005,772,658,88,0.33,0.407,0.262,0,162,69152975,2109298, 0.54 
OAK,AL,2006,771,727,93,0.34,0.412,0.26,1,162,80405418,1976625, 0.57 
OAK,AL,2007,741,758,76,0.338,0.407,0.256,0,162,96033997,1921844, 0.47 
OAK,AL,2008,646,690,75,0.318,0.369,0.242,0,161,56121537,1578922, 0.47 
PHI,NL,1998,713,808,75,0.326,0.395,0.264,0,162,46380950,1715722, 0.46 
PHI,NL,1999,841,846,77,0.351,0.431,0.275,0,162,46745825,1825337, 0.48 
PHI,NL,2000,708,830,65,0.329,0.4,0.251,0,162,64689680,1612769, 0.40 
PHI,NL,2001,746,719,86,0.329,0.414,0.26,0,162,59162643,1782054, 0.53 
PHI,NL,2002,710,724,80,0.339,0.422,0.259,0,161,76456949,1618141, 0.50 
PHI,NL,2003,791,697,86,0.343,0.419,0.261,0,162,95825600,2259948, 0.53 
PHI,NL,2004,840,781,86,0.345,0.443,0.267,0,162,123183492,3206532, 0.53 
PHI,NL,2005,807,726,88,0.348,0.423,0.27,0,162,122268160,2665301, 0.54 
PHI,NL,2006,865,812,85,0.347,0.447,0.267,0,162,109024933,2701815, 0.52 
PHI,NL,2007,892,821,89,0.354,0.458,0.274,1,162,107288538,3108331, 0.55 
PHI,NL,2008,799,680,92,0.332,0.438,0.255,1,162,110333785,3422583, 0.57 
PIT,NL,1998,650,718,69,0.311,0.374,0.254,0,163,22667260,1560950, 0.42 
PIT,NL,1999,775,782,78,0.334,0.419,0.259,0,161,36236476,1638023, 0.48 
PIT,NL,2000,793,888,69,0.339,0.424,0.267,0,162,42819368,1748908, 0.43 
PIT,NL,2001,657,858,62,0.313,0.393,0.247,0,162,70340883,2435867, 0.38 
PIT,NL,2002,641,730,72,0.319,0.381,0.244,0,161,53266328,1784993, 0.45 
PIT,NL,2003,753,801,75,0.338,0.42,0.267,0,162,68965503,1636751, 0.46 
PIT,NL,2004,680,744,72,0.321,0.401,0.26,0,161,42863146,1583031, 0.45 
PIT,NL,2005,680,769,67,0.322,0.4,0.259,0,162,47994880,1794237, 0.41 
PIT,NL,2006,691,797,67,0.327,0.397,0.263,0,162,57119050,1861549, 0.41 
PIT,NL,2007,724,846,68,0.325,0.411,0.263,0,162,46630778,1749142, 0.42 
PIT,NL,2008,735,884,67,0.32,0.403,0.258,0,162,56494951,1609076, 0.41 
SDP,NL,1998,749,635,98,0.33,0.409,0.253,1,162,71281210,2555874, 0.60 
SDP,NL,1999,710,781,74,0.332,0.393,0.252,0,162,63195785,2523538, 0.46 
SDP,NL,2000,752,815,76,0.33,0.402,0.254,0,162,69903826,2423149, 0.47 
SDP,NL,2001,789,812,79,0.336,0.399,0.252,0,162,55639623,2378128, 0.49 
SDP,NL,2002,662,815,66,0.321,0.381,0.253,0,162,57254100,2220416, 0.41 
SDP,NL,2003,678,831,64,0.333,0.388,0.261,0,162,61485600,2030084, 0.40 
SDP,NL,2004,768,705,87,0.342,0.414,0.273,0,162,73661828,3040046, 0.54 
SDP,NL,2005,684,726,82,0.333,0.391,0.257,1,162,80158506,2832039, 0.51 
SDP,NL,2006,731,679,88,0.332,0.416,0.263,1,162,86671215,2659732, 0.54 
SDP,NL,2007,741,666,89,0.322,0.411,0.251,0,163,69849146,2790074, 0.55 
SDP,NL,2008,637,764,63,0.317,0.39,0.25,0,162,84575107,2427535, 0.39 
SEA,AL,1998,859,855,76,0.345,0.468,0.276,0,161,83744485,2651511, 0.47 
SEA,AL,1999,859,905,79,0.343,0.455,0.269,0,162,79010755,2915908, 0.49 
SEA,AL,2000,907,780,91,0.361,0.442,0.269,1,162,88030700,3148317, 0.56 
SEA,AL,2001,927,627,116,0.36,0.445,0.288,1,162,103299084,3512326, 0.72 
SEA,AL,2002,814,699,93,0.35,0.419,0.275,0,162,111592909,3540482, 0.57 
SEA,AL,2003,795,637,93,0.344,0.41,0.271,0,162,117856467,3268509, 0.57 
SEA,AL,2004,698,823,63,0.331,0.396,0.27,0,162,108017059,2940731, 0.39 
SEA,AL,2005,699,751,69,0.317,0.391,0.256,0,162,110353068,2689529, 0.43 
SEA,AL,2006,756,792,78,0.325,0.424,0.272,0,162,109070193,2480717, 0.48 
SEA,AL,2007,794,813,88,0.337,0.425,0.287,0,162,127147808,2672409, 0.54 
SEA,AL,2008,671,811,61,0.318,0.389,0.265,0,162,137213484,2329702, 0.38 
SFG,NL,1998,845,739,89,0.353,0.421,0.274,0,163,63621252,1925364, 0.55 
SFG,NL,1999,872,831,86,0.356,0.434,0.271,0,162,70665066,2078365, 0.53 
SFG,NL,2000,925,747,97,0.362,0.472,0.278,1,162,78457226,3318800, 0.60 
SFG,NL,2001,799,748,90,0.342,0.46,0.266,0,162,86769337,3311000, 0.56 
SFG,NL,2002,783,616,95,0.344,0.442,0.267,1,162,108836771,3253205, 0.59 
SFG,NL,2003,755,638,100,0.338,0.425,0.264,1,161,100778947,3264898, 0.62 
SFG,NL,2004,850,770,91,0.357,0.438,0.27,0,162,96516991,3258864, 0.56 
SFG,NL,2005,649,745,75,0.319,0.396,0.261,0,162,115455360,3140781, 0.46 
SFG,NL,2006,746,790,76,0.324,0.422,0.259,0,161,111669960,3130304, 0.47 
SFG,NL,2007,683,720,71,0.322,0.387,0.254,0,162,109165058,3223202, 0.44 
SFG,NL,2008,640,759,72,0.321,0.382,0.262,0,162,86690565,2863837, 0.44 
STL,NL,1998,810,782,83,0.341,0.441,0.258,0,163,83348682,3195691, 0.51 
STL,NL,1999,809,838,75,0.338,0.426,0.262,0,161,74651674,3235833, 0.47 
STL,NL,2000,887,771,95,0.356,0.455,0.27,1,162,90014640,3336493, 0.59 
STL,NL,2001,814,684,93,0.339,0.441,0.27,1,162,105098933,3109578, 0.57 
STL,NL,2002,787,648,97,0.338,0.425,0.268,1,162,103222616,3011756, 0.60 
STL,NL,2003,876,796,85,0.35,0.454,0.279,0,162,112719066,2910386, 0.52 
STL,NL,2004,855,659,105,0.344,0.46,0.278,1,162,111507643,3048427, 0.65 
STL,NL,2005,805,634,100,0.339,0.423,0.27,1,162,116923946,3491837, 0.62 
STL,NL,2006,781,762,83,0.337,0.431,0.269,1,161,108321900,3407104, 0.52 
STL,NL,2007,725,829,78,0.337,0.405,0.274,0,162,108784836,3552166, 0.48 
STL,NL,2008,779,725,86,0.35,0.433,0.281,0,162,107027445,3430660, 0.53 
TBD,AL,1998,620,751,63,0.321,0.385,0.261,0,162,41703200,2506023, 0.39 
TBD,AL,1999,772,913,69,0.343,0.411,0.274,0,162,58376600,1562827, 0.43 
TBD,AL,2000,733,842,69,0.329,0.399,0.257,0,161,78606588,1479782, 0.43 
TBD,AL,2001,672,887,62,0.32,0.388,0.258,0,162,59611600,1298075, 0.38 
TBD,AL,2002,673,918,55,0.314,0.39,0.253,0,161,47090420,1065762, 0.34 
TBD,AL,2003,715,852,63,0.32,0.404,0.265,0,162,26696800,1058695, 0.39 
TBD,AL,2004,714,842,70,0.32,0.405,0.258,0,161,39307042,1275011, 0.43 
TBD,AL,2005,750,936,67,0.329,0.425,0.274,0,162,36693206,1124189, 0.41 
TBD,AL,2006,689,856,61,0.314,0.42,0.255,0,162,43298279,1369031, 0.38 
TBD,AL,2007,782,944,66,0.336,0.433,0.268,0,162,29189435,1389031, 0.41 
TBD,AL,2008,774,671,97,0.34,0.422,0.26,1,162,52146779,1780791, 0.60 
TEX,AL,1998,940,871,88,0.357,0.462,0.289,1,162,87055576,2927399, 0.54 
TEX,AL,1999,945,859,95,0.361,0.479,0.293,1,162,115831996,2774501, 0.59 
TEX,AL,2000,848,974,71,0.352,0.446,0.283,0,162,98945545,2800075, 0.44 
TEX,AL,2001,890,968,73,0.344,0.471,0.275,0,162,123843170,2831111, 0.45 
TEX,AL,2002,843,882,72,0.338,0.455,0.269,0,162,143669642,2352447, 0.44 
TEX,AL,2003,826,969,71,0.33,0.454,0.266,0,162,126650000,2094394, 0.44 
TEX,AL,2004,860,794,89,0.329,0.457,0.266,0,162,57434388,2513685, 0.55 
TEX,AL,2005,865,858,79,0.329,0.468,0.267,0,162,70243200,2486925, 0.49 
TEX,AL,2006,835,784,80,0.338,0.446,0.278,0,162,84193101,2388757, 0.49 
TEX,AL,2007,816,844,75,0.328,0.426,0.263,0,162,82204587,2353862, 0.46 
TEX,AL,2008,901,967,79,0.354,0.462,0.283,0,162,78760885,1945677, 0.49 
TOR,AL,1998,816,768,88,0.34,0.448,0.266,0,163,79119040,2454303, 0.54 
TOR,AL,1999,883,862,84,0.352,0.457,0.28,0,162,67752693,2163486, 0.52 
TOR,AL,2000,861,908,83,0.341,0.469,0.275,0,162,67215965,1819919, 0.51 
TOR,AL,2001,767,753,80,0.325,0.43,0.263,0,162,104648319,1895236, 0.49 
TOR,AL,2002,813,828,78,0.327,0.43,0.261,0,162,101559423,1636904, 0.48 
TOR,AL,2003,894,826,86,0.349,0.455,0.279,0,162,69304240,1799458, 0.53 
TOR,AL,2004,719,823,67,0.328,0.403,0.26,0,161,66522610,1900041, 0.42 
TOR,AL,2005,775,705,80,0.331,0.407,0.265,0,162,58520960,1977949, 0.49 
TOR,AL,2006,809,754,87,0.348,0.463,0.284,0,162,88492600,2302182, 0.54 
TOR,AL,2007,753,699,83,0.327,0.419,0.259,0,162,98084173,2360648, 0.51 
TOR,AL,2008,714,610,86,0.331,0.399,0.264,0,162,113946300,2399786, 0.53 